LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION TYPE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,QUANTITY,WEIGHT MOVED,VOLUME MOVED,CAPACITY
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,2598624.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,20617.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,500.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,809.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,42584.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,66.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,11057.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,07-2021,9321.6,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,04-2021,4477.038469799,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,1016.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,289.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,01-2021,143678.55000000002,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,08-2021,6900.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,523691.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,28215.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,72570.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,09-2021,125.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,215129.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,910064.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,03-2021,289.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,10927.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,2900.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,26400.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,4268.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,02-2021,175675.85,0.0,0.0,0.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,36869.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,14703.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,06-2021,63592.306633961,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,748512.0,0.0,0.0,0.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,SUPPLIER,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,01-2021,4627.6,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,03-2021,10756.45,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,07-2021,21188.368698819,0.0,0.0,0.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,1492.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,1200.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,10451.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,22146.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,133448.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,1066960.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,348949.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,420.0,0.0,0.0,0.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,SUPPLIER,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,03-2021,4811.650000000001,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,41600.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,08-2021,5018.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,3481668.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,33726.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,389439.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,144692.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,300.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,04-2021,1843.45,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,07-2021,1450.250086653,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,257432.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,02-2021,432633.413462003,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,05-2021,254.640746187,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,2651.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,38049.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,245195.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,09-2021,3006.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,597641.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,36869.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,174489.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,04-2021,6920.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,04-2021,76253.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,02-2021,2463.8,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,236654.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,06-2021,26184.550000000003,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,92137.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,681.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,03-2021,26123.323360259,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,03-2021,16299.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,400.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,05-2021,104.85,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,59010.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,17307.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,19983.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,300.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,53366.0,0.0,0.0,0.0
