ORIGIN ID,ORIGIN CODE,ORIGIN NAME,ORIGIN COUNTRY CODE,ORIGIN LATITUDE,ORIGIN LONGITUDE,DESTINATION ID,DESTINATION CODE,DESTINATION NAME,DESTINATION COUNTRY CODE,DESTINATION LATITUDE,DESTINATION LONGITUDE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TYPE OF LEG,VEHICLE MODEL ID,TIME PERIOD,QUANTITY,WEIGHT MOVED,TRANSPORTATION COST,TARIFF COST,DUTY COST,IN-TRANSIT INVENTORY COST,TOTAL LEAD TIME
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,681.0,5.011,8.77,0.0,0.0,20.349724411964107,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,03-2021,72570.0,534.02,20559.767,0.0,21685.455221383774,4337.091044276755,52.613
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,245195.0,1804.313,3157.548,0.0,0.0,7326.946662542642,1.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,50880.0,374.41,655.217,0.0,0.0,1520.4023172991683,1.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,3006.0,22.12,38.71,0.0,0.0,165.14851308066005,1.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,130128.0,957.571,60901.53,0.0,97212.51608957656,11665.501930749188,66.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,07-2021,21188.368698819,33.901,59.327,0.0,0.0,809.395684294886,31.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,9960.0,73.293,3847.857,0.0,19699.151979441605,1641.5959982868003,65.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,1200.0,8.83,15.453,0.0,0.0,65.92755013200002,1.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,DC_99949_CHINA_1_TUG,DC_99949_CHINA_1_TUG,CHINA WH,,35.8617,104.19,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,4268.0,31.407,54.962,0.0,0.0,127.53689249671484,1.0
